line,total_obs,zscore_anomaly_count,iforest_anomaly_count,avg_iforest_score,zscore_anomaly_rate,iforest_anomaly_rate
KIRAZLI METRO-BARBAROS MAH.,5,0,1,0.4939536403226925,0.0,0.2
KIRAZLI METRO-YENIBOSNA METRO,10,0,1,0.4632910059565637,0.0,0.1
KABATAS-MAHMUTBEY,6284,72,614,0.554925181604856,0.011457670273711,0.0977084659452578
IC HATLAR,18419,278,1628,0.5056900578059992,0.015093110375156,0.0883869916933601
KADIKOY-PENDIK,31518,467,2413,0.481999769130456,0.0148169300082492,0.0765594263595405
KIPTAS 4. ETAP- 5. ETAP-ESENYURT DEV.HAST.,216,0,14,0.4316633405612413,0.0,0.0648148148148148
BATISEHIR-FATIH MAHALLESI,294,0,18,0.4425260784666836,0.0,0.0612244897959183
HALKALI - GEBZE,88342,1931,5407,0.4616426976317085,0.0218582327771614,0.0612053157048742
ISPARTAKULE BIZIMEVLER-TAKSIM,82,0,5,0.4490989625347633,0.0,0.0609756097560975
YESILKENT-BEYKENT-TAKSIM,35,0,2,0.4311610296000397,0.0,0.0571428571428571
KADIKOY-FINDIKLI MAHALLESI-YEDITEPE UNIVERSITESI,9524,6,495,0.4957524925056151,0.000629987400251995,0.0519739605207895
KOCAMUSTAFAPASA-YENIKAPI MARMARAY,116,0,6,0.4258155656797893,0.0,0.0517241379310344
SAHIL MAH./KAVAKLI-GUZELYURT METROBUS,272,0,14,0.4394125861376766,0.0,0.0514705882352941
ALTUNIZADE-SULTANBEYLI,18723,336,963,0.4667565445271259,0.0179458420124979,0.0514340650536772
Y.KADIKOY-KARAKOY,2562,28,130,0.4489182073899937,0.0109289617486338,0.0507416081186573
TUZLA-TOPKAPI,8461,19,424,0.480132014403829,0.0022455974471102,0.0501122798723555
ATAKOY – TAKSIM,40,0,2,0.4455057875130794,0.0,0.05
CUBUKLU ISKELE-KAVACIK,488,2,24,0.4331345105089023,0.0040983606557377,0.0491803278688524
GUNESLI - BEYAZIT,13032,5,593,0.5116576527080675,0.000383670963781461,0.0455033763044812
BAHCESEHIRI / ESENKENT - TAKSIM,7690,3,346,0.478354835264073,0.0003901170351105332,0.0449934980494148
