line,total_obs,zscore_anomaly_count,iforest_v5_anomaly_count,avg_iforest_v5_score,zscore_anomaly_rate,iforest_v5_anomaly_rate
KIRAZLI METRO-BARBAROS MAH.,5,0,1,0.4939536403226925,0.0,0.2
KIRAZLI METRO-YENIBOSNA METRO,10,0,1,0.4632910059565637,0.0,0.1
KABATAS-MAHMUTBEY,6284,72,614,0.554925181604856,0.011457670273711012,0.0977084659452578
IC HATLAR,18419,278,1628,0.5056900578059992,0.015093110375156088,0.08838699169336012
KADIKOY-PENDIK,31518,467,2413,0.481999769130456,0.014816930008249254,0.07655942635954058
KIPTAS 4. ETAP- 5. ETAP-ESENYURT DEV.HAST.,216,0,14,0.43166334056124134,0.0,0.06481481481481481
BATISEHIR-FATIH MAHALLESI,294,0,18,0.4425260784666836,0.0,0.061224489795918366
HALKALI - GEBZE,88342,1931,5407,0.46164269763170857,0.021858232777161486,0.06120531570487424
ISPARTAKULE BIZIMEVLER-TAKSIM,82,0,5,0.4490989625347633,0.0,0.06097560975609756
YESILKENT-BEYKENT-TAKSIM,35,0,2,0.43116102960003977,0.0,0.05714285714285714
KADIKOY-FINDIKLI MAHALLESI-YEDITEPE UNIVERSITESI,9524,6,495,0.49575249250561515,6.29987400251995E-4,0.051973960520789585
KOCAMUSTAFAPASA-YENIKAPI MARMARAY,116,0,6,0.42581556567978934,0.0,0.05172413793103448
SAHIL MAH./KAVAKLI-GUZELYURT METROBUS,272,0,14,0.4394125861376766,0.0,0.051470588235294115
ALTUNIZADE-SULTANBEYLI,18723,336,963,0.4667565445271259,0.017945842012497996,0.05143406505367729
Y.KADIKOY-KARAKOY,2562,28,130,0.4489182073899937,0.01092896174863388,0.0507416081186573
TUZLA-TOPKAPI,8461,19,424,0.480132014403829,0.0022455974471102705,0.05011227987235552
ATAKOY – TAKSIM,40,0,2,0.44550578751307945,0.0,0.05
CUBUKLU ISKELE-KAVACIK,488,2,24,0.43313451050890234,0.004098360655737705,0.04918032786885246
GUNESLI - BEYAZIT,13032,5,593,0.5116576527080675,3.83670963781461E-4,0.04550337630448128
