month,total_obs,zscore_anomaly_count,iforest_anomaly_count,avg_iforest_score,zscore_anomaly_rate,iforest_anomaly_rate
1.0,539955,20512,16773,0.4477772378657278,0.0379883508810919,0.0310636997527571
2.0,507780,24477,19614,0.4548462174359868,0.0482039465910433,0.038626964433416
3.0,520216,13144,10702,0.4328633032764739,0.0252664277915327,0.0205722238454795
4.0,390908,35,4832,0.4361235691838288,8.953513358641931e-05,0.0123609647282736
5.0,384598,61,5840,0.4381528680518958,0.0001586071690440408,0.0151846863478229
6.0,506336,688,1909,0.4062826459888597,0.0013587815205713,0.0037702237249573
7.0,521378,1803,2178,0.4073517532717994,0.0034581436117365,0.004177391451116
8.0,526519,3187,3442,0.4109461463234368,0.0060529629510046,0.0065372759577527
9.0,531766,1686,1959,0.4064790545036831,0.003170567505256,0.0036839512116231
10.0,548667,1918,2668,0.408332435344246,0.0034957451423176,0.0048626944941102
11.0,522916,1082,2305,0.4055665170393773,0.002069165984594,0.0044079737472175
12.0,507379,550,2320,0.4122777607912781,0.001084002294143,0.0045725187680215
