month,total_obs,zscore_anomaly_count,iforest_v5_anomaly_count,avg_iforest_v5_score,zscore_anomaly_rate,iforest_v5_anomaly_rate
1.0,539955,20512,16773,0.4477772378657278,0.03798835088109194,0.031063699752757173
2.0,507780,24477,19614,0.4548462174359868,0.048203946591043365,0.038626964433416046
3.0,520216,13144,10702,0.4328633032764739,0.025266427791532747,0.02057222384547957
4.0,390908,35,4832,0.4361235691838288,8.953513358641931E-5,0.01236096472827366
5.0,384598,61,5840,0.4381528680518958,1.586071690440408E-4,0.01518468634782292
6.0,506336,688,1909,0.40628264598885977,0.0013587815205713203,0.0037702237249573408
7.0,521378,1803,2178,0.40735175327179945,0.0034581436117365905,0.004177391451116081
8.0,526519,3187,3442,0.41094614632343685,0.006052962951004617,0.006537275957752712
9.0,531766,1686,1959,0.4064790545036831,0.0031705675052560714,0.0036839512116231573
10.0,548667,1918,2668,0.40833243534424607,0.0034957451423176535,0.004862694494110271
11.0,522916,1082,2305,0.40556651703937735,0.0020691659845940838,0.0044079737472175265
12.0,507379,550,2320,0.41227776079127815,0.0010840022941430371,0.004572518768021538
